2025-07-02 18:23:19,USD,EUR,1055.0,0.847893,894.527115
2025-07-02 19:04:50,EUR,USD,1.0,1.179399,1.179399
2025-07-02 19:04:59,EUR,USD,1000.0,1.179399,1179.3990000000001
2025-07-02 19:05:52,USD,USD,1000.0,1,1000.0
2025-07-02 19:06:21,USD,EUR,1000.0,0.847893,847.893
2025-07-02 19:10:31,XOF,XOF,100.0,1,100.0
2025-07-02 19:10:38,XOF,CAD,100.0,0.002453,0.2453
2025-07-02 19:11:51,XOF,CAD,100.0,0.002453,0.2453
2025-07-02 19:20:56,EUR,USD,1.0,1.179399,1.179399
2025-07-02 19:36:25,EUR,USD,1.0,1.179399,1.179399
2025-07-02 19:37:23,EUR,USD,1.0,1.179399,1.179399
2025-07-02 19:37:32,AUD,USD,1.0,0.657711,0.657711
2025-07-02 19:41:02,EUR,USD,1.0,1.179399,1.179399
